"projectID";"topic";"title"
"101046475";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101060430";"HORIZON-CL6-2021-FARM2FORK-01-19";"EU-China international cooperation on integrated pest management in agriculture"
"101045989";"HORIZON-HLTH-2021-CORONA-01-02";"Cohorts united against COVID-19 variants of concern"
"101070741";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-04";"Novel routes to green hydrogen production"
"101046489";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101073558";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101075727";"HORIZON-CL5-2021-D3-02-13";"Cost reduction of CO2 capture (new or improved technologies)"
"101058035";"HORIZON-EIC-2021-TRANSITIONOPEN-01";"EIC Transition Open 2021"
"101057741";"HORIZON-CL4-2021-RESILIENCE-01-06";"Innovation for responsible EU sourcing of primary raw materials, the foundation of the Green Deal (RIA)"
"101069726";"HORIZON-CL5-2021-D2-01-03";"Advanced high-performance Generation 4a, 4b (solid-state) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)"
"101056306";"HORIZON-CL5-2021-D1-01-04";"Enhanced integrated assessment in pursuit of global climate goals"
"101058651";"HORIZON-CL4-2021-TWIN-TRANSITION-01-20";"Reducing environmental footprint, improving circularity in extractive and processing value chains (IA)"
"101073508";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101073432";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101069614";"HORIZON-CL5-2021-D6-01-01";"More powerful and reliable on-board perception and decision-making technologies addressing complex environmental conditions (CCAM Partnership)"
"101070568";"HORIZON-CL4-2021-HUMAN-01-01";"Verifiable robustness, energy efficiency and transparency for Trustworthy AI: Scientific excellence boosting industrial competitiveness (AI, Data and Robotics Partnership) (RIA)"
"101061198";"HORIZON-CL2-2021-TRANSFORMATIONS-01-02";"Providing support in a changing world of work and social protection"
"101073271";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101066680";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101063107";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101072843";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101056730";"HORIZON-CL5-2021-D5-01-03";"System approach to achieve optimised Smart EV Charging and V2G flexibility in mass-deployment conditions (2ZERO)"
"101075714";"HORIZON-CL5-2021-D3-02-07";"Reliability and resilience of the grid: Measures for vulnerabilities, failures, risks and privacy"
"101068900";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101069782";"HORIZON-CL5-2021-D6-01-08";"New delivery methods and business/operating models to green the last mile and optimise road transport"
"101079952";"HORIZON-MISS-2021-NEB-01-01";"Support the deployment of lighthouse demonstrators for the New European Bauhaus initiative in the context of Horizon Europe missions"
"101070940";"HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-01";"Awareness Inside"
"101079354";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101070627";"HORIZON-CL3-2021-CS-01-02";"Improved security in open-source and open-specification hardware for connected devices"
"101079392";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101066486";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101056799";"HORIZON-CL5-2021-D5-01-13";"Digital Twin models to enable green ship operations (ZEWT Partnership)"
"101066739";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101056732";"HORIZON-CL5-2021-D5-01-06";"Next generation digital aircraft transformation in design, manufacturing, integration and maintenance"
"101072585";"HORIZON-MSCA-2021-DN-01-01";"MSCA Doctoral Networks 2021"
"101046719";"HORIZON-EIC-2021-PATHFINDEROPEN-01-01";"EIC Pathfinder Open 2021"
"101079200";"HORIZON-WIDERA-2021-ACCESS-03-01";"Twinning"
"101067047";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101066635";"HORIZON-MSCA-2021-PF-01-01";"MSCA Postdoctoral Fellowships 2021"
"101056898";"HORIZON-CL5-2021-D1-01-07";"Improved economic methods for decision-making on climate and environmental policies"
